name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
Sunny Cafe,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.38687194334788,-71.00689404233543
Sunny Girl,Breakfast Spot,Dining and Drinking > Breakfast Spot,Dining and Drinking,Breakfast Spot,,,,,42.36397330328389,-71.0513931239329
Sunny's Seafood,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,Dining and Drinking,Restaurant,Seafood Restaurant,,,,42.350865881930424,-71.03787407856863
Sunnys Seafood,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.33868318652546,-71.04600286776308
Sunnyside All Day Brunch Cafe,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.379602,-71.073368
Sunnyside All Day Brunch cafe,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.379607,-71.073304
Sunset Cantina,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,,,,42.35105330697015,-71.11686714314774
Super 87,Swiss Restaurant,Dining and Drinking > Restaurant > Swiss Restaurant,Dining and Drinking,Restaurant,Swiss Restaurant,,,,42.3545283127607,-71.12528123939055
Super Bien,Food Stand,Dining and Drinking > Food Stand,Dining and Drinking,Food Stand,,,,,42.361956,-71.144961
Super Bowl Cafe,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",Dining and Drinking,"Cafe, Coffee, and Tea House",Café,,,,42.350790692096176,-71.13077027147249
Super Emoji,Bubble Tea Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Bubble Tea Shop,,,,42.3501266190444,-71.08154393184297
Supreme House of Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.33577866396,-71.03981240066753
Supreme House of Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.32957380890601,-71.05288406127528
Supreme Pizza and Subs,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.3458011,-71.0873574
Surf City Squeeze,Smoothie Shop,Dining and Drinking > Smoothie Shop,Dining and Drinking,Smoothie Shop,,,,,42.351519601642124,-71.05500394401827
Surf and Turf,Hot Dog Joint,Dining and Drinking > Restaurant > Hot Dog Joint,Dining and Drinking,Restaurant,Hot Dog Joint,,,,42.35000114318208,-71.09974710872085
Susan's Deli of Course,Deli,Dining and Drinking > Restaurant > Deli,Dining and Drinking,Restaurant,Deli,,,,42.352103683886355,-71.05632540807532
Sushi @ Temple Records,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.355084,-71.062015
Sushi Arigato,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.33858243925121,-71.10712221089963
Sushi Bosso,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.350688,-71.078609
Sushi By Bosso Ramen Tavern,Japanese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,,,42.350831,-71.078693
Sushi Express,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.355956111283234,-71.06212593848764
Sushi Factory,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.352764922400475,-71.13162794207956
Sushi Guys,Japanese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,,,42.33083738479535,-71.05284333229064
Sushi Kappo,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.34308896636123,-71.09900291323977
Sushi Momento,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.334633000000004,-71.15068199999999
Sushi Net,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.33858243925121,-71.10712221089963
Sushi Time,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.355864121537984,-71.06067598850483
Sushi Today,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.33299231247836,-71.1017538288773
Sushi Wrap & Noodles,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.33858243925121,-71.10712221089963
Sushi express,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.357434311213,-71.06727266336154
Sushiemon,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.34512953475118,-71.0870195434792
Swatow Restaurant,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.35162239375951,-71.06083115743961
Sweeney'd On Boylston,Irish Pub,Dining and Drinking > Bar > Irish Pub,Dining and Drinking,Bar,Irish Pub,,,,42.349277,-71.0798
Sweeney's On Boylston,Irish Pub,Dining and Drinking > Bar > Irish Pub,Dining and Drinking,Bar,Irish Pub,,,,42.349277,-71.0798
Sweet & Comfy,Ice Cream Parlor,Dining and Drinking > Dessert Shop > Ice Cream Parlor,Dining and Drinking,Dessert Shop,Ice Cream Parlor,,,,42.350461,-71.168494
Sweet 'n Nasty,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.3486398288062,-71.08820036056387
Sweet Beauty,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.35085459147296,-71.06030861804038
Sweet Boba,Bubble Tea Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Bubble Tea Shop,,,,42.364425,-71.053971
Sweet Boba,Bubble Tea Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Bubble Tea Shop,,,,42.374570139600955,-71.03883715768688
Sweet Bubble,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.34969032771538,-71.07813024752802
Sweet Bubble,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.35996682537546,-71.05297505971026
Sweet Cheeks Q,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34373828994109,-71.10125852846103
Sweet Eats,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.36270827717576,-71.05687546112229
Sweet Heaven,Ice Cream Parlor,Dining and Drinking > Dessert Shop > Ice Cream Parlor,Dining and Drinking,Dessert Shop,Ice Cream Parlor,,,,42.35007394771678,-71.07870701603353
Sweet Kingdom,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.352051109473884,-71.13204912252482
Sweet Kingdom Dessert,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.35134715244807,-71.06232427604043
Sweet Lydia's,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.36259807155542,-71.0576891538836
Sweet Rice,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Thai Restaurant,,,42.31186211281541,-71.11452050977945
Sweet Rice,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Thai Restaurant,,,42.37589600356981,-71.06486079781023
Sweet Rice Charlestown Thai Sushi,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Thai Restaurant,,,42.375984,-71.064766
Sweet Teez Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.313051,-71.074116
Sweet Tomatoes Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.3390380142713,-71.08752965927123
Sweet Tomatoes Truck,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.33418705081154,-71.041696853091
Sweet Tomatoes Truck,Food Truck,Dining and Drinking > Food Truck,Dining and Drinking,Food Truck,,,,,42.33979074612456,-71.10574378042129
Sweet Tooth,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.3378036608911,-71.04962670092952
Sweet Tooth Boston Downtown,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.355879,-71.060704
Sweet Treats,Dessert Shop,Dining and Drinking > Dessert Shop,Dining and Drinking,Dessert Shop,,,,,42.346585,-71.082699
Sweet Waffles + Boba,Bubble Tea Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Bubble Tea Shop,,,,42.35054,-71.060059
Sweetflow,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.35276137840331,-71.08004148530782
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.34509203560874,-71.06337201228295
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.31509580158196,-71.04998580930798
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.351759,-71.063077
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.360890422034416,-71.06840848120592
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.32278070714299,-71.11062951321745
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.3539465,-71.0585759
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.352214,-71.120946
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.3576853,-71.0587547
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.338875,-71.107475
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.38097304205407,-71.0726276301156
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.3499953,-71.0786683
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.35311144707777,-71.04669512098664
Sweetgreen,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,Dining and Drinking,Restaurant,Salad Restaurant,,,,42.3449545,-71.1006924
Sweetgreen,Vegan and Vegetarian Restaurant,Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,Dining and Drinking,Restaurant,Vegan and Vegetarian Restaurant,,,,42.35047894436614,-71.11554939330492
Sweeties,Ice Cream Parlor,Dining and Drinking > Dessert Shop > Ice Cream Parlor,Dining and Drinking,Dessert Shop,Ice Cream Parlor,,,,42.285923,-71.129508
Swenson's Tavern,Pub,Dining and Drinking > Bar > Pub,Dining and Drinking,Bar,Pub,,,,42.33342605671676,-71.1068779817296
Swishpad,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.33001048085979,-71.05665613200033
SwissBakers,Snack Place,Dining and Drinking > Snack Place,Dining and Drinking,Snack Place,,,,,42.3529456329352,-71.05579214851024
Switchblade Brewing Company,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.34617506637026,-71.13627766492513
